elapsed_s,lat_deg,lon_deg,yaw_rad,speed_mps,depth_m,alt_asf_m,wall_utc_s,yaw_rate_rps,vel_north_mps,vel_east_mps,vel_down_mps,vel_age_s,waypoint_index,cross_track_error_m,distance_to_waypoint_m,distance_remaining_m,cumulative_distance_m,waypoints_remaining,exec_age_s
4.549573302,39.0000804,-76.5,-1.748799193e-12,3,0,60,1785408823.5874023,-7.937911662e-13,3,-5.246397579e-12,0,4.5061e-05,0,1.309005116e-10,91.07452955,951.9999986,8.925470432,8,3.881e-05
4.599819241,39.00008174,-76.5,-1.80552273e-12,3,0,60,1785408823.6376307,-1.139716959e-12,3,-5.416568191e-12,0,3.767e-05,0,9.327381273e-12,90.92522002,949.9999986,9.07477997,8,3.2528e-05
4.650061697,39.00008309,-76.5,-1.849551332e-12,3,0,60,1785408823.6879034,-8.812828996e-13,3,-5.548653997e-12,0,4.848e-05,0,-1.756427305e-10,90.77534101,949.9999986,9.224658977,8,3.9929e-05
4.700345378,39.00008445,-76.5,-1.838226348e-12,3,0,60,1785408823.7381914,2.261432216e-13,3,-5.514679044e-12,0,5.09e-05,0,2.618354313e-11,90.62510457,949.9999986,9.374895419,8,4.4063e-05
4.750823268,39.0000858,-76.5,-1.824037757e-12,3,0,60,1785408823.7886782,2.841789585e-13,3,-5.47211327e-12,0,5.3894e-05,0,1.589666592e-10,90.47531947,949.9999986,9.524680521,8,4.4063e-05
4.801429972,39.00008715,-76.5,-1.838355636e-12,3,0,60,1785408823.8392684,-2.864480836e-13,3,-5.515066909e-12,0,4.5989e-05,0,5.52587855e-11,90.32536685,949.9999986,9.674633136,8,3.874e-05
4.852019778,39.0000885,-76.5,-1.854259614e-12,3,0,60,1785408823.8899364,-3.180312092e-13,3,-5.562778841e-12,0,4.0575e-05,0,1.436557617e-10,90.17534405,949.9999986,9.824655932,8,3.4888e-05
4.902658136,39.00008985,-76.5,-1.892256192e-12,3,0,60,1785408823.940469,-7.598638853e-13,3,-5.676768575e-12,0,3.8931e-05,0,-1.723902141e-12,90.0253307,949.9999986,9.974669291,8,3.4504e-05
4.952880254,39.0000912,-76.5,-1.916099372e-12,3,0,60,1785408823.9907265,-4.76875932e-13,3,-5.748298115e-12,0,4.8712e-05,0,1.771458448e-10,89.87533457,949.9999986,10.12466541,8,4.0665e-05
5.003248018,39.00009255,-76.5,-1.968986806e-12,3,0,60,1785408824.0410919,-1.056694272e-12,3,-5.906960417e-12,0,4.7397e-05,0,9.041730205e-11,89.7251849,949.9999986,10.27481509,8,4.0055e-05
5.053815048,39.0000939,-76.5,-2.027549074e-12,3,0,60,1785408824.0916777,-1.172286606e-12,3,-6.082647221e-12,0,5.4264e-05,0,-3.265404147e-11,89.57531813,949.9999986,10.42468185,8,4.546e-05
5.104176719,39.00009526,-76.5,-2.06239943e-12,3,0,60,1785408824.14203,-6.93618767e-13,3,-6.187198289e-12,0,6.7858e-05,0,6.566207168e-11,89.42458538,949.9999986,10.57541461,8,6.0951e-05
